id,last_name,first_name,middle_name,name_raw,class_year,class_label,cullum_number,date_of_death,date_of_death_raw,location_of_death,age_at_death,date_of_birth,date_of_birth_raw,interment_location,entry_type,obit_text,author,source_report_year,page_number,page_end,obit_link,source_item_id,status,confidence,confidence_notes,needs_vision
84f91b4b-f9f5-55d9-9779-2d5488e2576a,Park,Roswell,,"Rev. ROSWELL PARK, D. D.",1831,,,1869-07-16,"July 16, 1869","Lake View, near Chicago, Ill.",61,1807,"born at Lebanon, Conn., in the year 1807","east end of the chapel, Racine College, Racine",obituary,"Rev. Roswell Park, D. D., Rector of Emmanuel Hall, class of 1831, at Lake View, near Chicago, Ill., July 16, 1869, aged 61 years.

The Church Register (Protestant Episcopal), for August, 1869, contains an obituary of Dr. Park which is preserved in the Records of the Association, and from which the following extracts are made:

""We cannot give this record of the departure of one who for seventeen years had been prominently connected with parochial and educational labor in the Northwest, without some fuller particulars of a life and work which so many remember with love and gratitude. He was born at Lebanon, Conn., in the year 1807, and at the early age of sixteen was employed by the United States authorities in making plans, &c., for the armory at Springfield. Shortly after this, his parents having already removed to the State of New York, he studied during the summers at Oxford and Hamilton Academies, while in the winters he taught school. Having prepared himself in this way by mingled study and teaching, he entered the Sophomore class at Hamilton College in the year 1826. In the following year he received an appointment as a Cadet of West Point, and after passing through the course there, graduated with great honor as head of his class. It was in accordance with the persevering industry which was ever a mark of his character, that within a month of his graduation at the Military Academy he passed the necessary examinations and received the degree of A. B. at Union College. Being now a lieutenant in the Engineer Corps of the Army, in the year 1833 he assisted in the construction of Fort Warren, and three years later he took charge of the construction of the Delaware Breakwater. The same year he was elected Professor of Philosophy and Chemistry in the University of Pennsylvania, and resigned his position in the Army. On the 10th of September, 1843, he was admitted to the Diaconate. In the following year he was advanced to the Priesthood. About this time he removed to Pomfret, Conn., where, until his removal to the West, he conducted a select school. It was in the year 1852 that he determined to remove to Racine, and there began what he felt was greatly needed in that portion of the Northwest, a Church College. For seven years he continued to labor most earnestly as President of this institution, and in 1859 he resigned the Presidency only to accept the more dignified office of Chancellor, and to fill the place of Professor of Natural Science. To these duties he added the laborious care of the large and growing parish of St. Luke in the city of Racine.

For the last six years of his life he was engaged in building up Emmanuel Hall, at Lake View, near Chicago. Quietly and earnestly, and with full measure of success, he devoted himself to his work and met with his reward. There was something in accordance with the steady, well-ordered dutifulness and exactness which were especially a mark of his character, that he should have been permitted to finish his school year, complete his examinations, and send his scholars to their homes with his parting benediction, before the summons came which was to call him unto God.

The spot chosen for his resting place is a beautiful and appropriate one. Those who have visited Racine College will, no doubt, remember the quiet place at the east end of the chapel. In sight of the lake, beneath the shadow of the trees, with the altar of God so near at hand, it was meet to lay one down to rest whose life had shown forth so happy a blending of educational and priestly labor.""",,1870,6,7,https://usmalibrary.contentdm.oclc.org/digital/collection/aogreunion/id/7619,7619,draft,high,,False
f845ce8e-b6db-543a-99b9-9e5b2751e194,Bowman,Andrew,W.,Lieut.-Colonel ANDREW W. BOWMAN,1841,,,1869-07-17,"July 17, 1869","Omaha, Neb.",,,,,obituary,"Lieut.-Colonel Andrew W. Bowman, U. S. Infantry, unassigned, class of 1841, at Omaha, Neb., July 17, 1869.

The particulars of Colonel Bowman's death have not been furnished the Association, but his etat de service is preserved in Cullum's Biographical Register of Graduates, and shows that after graduating, he was successively promoted to be Brevet 2d Lieut. of the 1st Infantry; 2d Lieut. 3d Infantry; 1st Lieut. 3d Infantry; Capt. 3d Infantry; Major 9th Infantry; and to the grade which he held at the time of his death. He served throughout the Mexican war, and was breveted Captain, U. S. Army, for gallant and meritorious conduct in the battle of Cerro Gordo.",,1870,7,7,https://usmalibrary.contentdm.oclc.org/digital/collection/aogreunion/id/7620,7620,draft,high,,False
10000ff1-3c7c-5486-9c26-d9987a71579f,Rawson,William,,Second Lieut. WILLIAM RAWSON,1869,,,1869-09-01,"Sept. 1, 1869","Forest Home, Miss.",,,,,obituary,"Second Lieut. William Rawson, 2d U. S. Cavalry, class of 1869, at Forest Home, Miss., Sept. 1, 1869.

Lieut. Rawson had intended to start to join his regiment on the morning of the 1st of September, but feeling ill, he concluded to delay doing so. His symptoms at first caused no alarm, but later in the day his disease developed into a congestive chill, from the effects of which he died the same afternoon. The announcement of his death is preserved, as follows:

IN MEMORIAM.

Died of congestive chills, on Sept. 1, 1869, at his residence, Forest Home, Mississippi, Lieutenant William Rawson, U. S. A., after a brief illness of one day.

""Thou wilt not leave us in the dust;
Thou madest man—he knows not why;
He thinks he was not made to die;
And Thou hast made him: Thou art just.""",,1870,8,8,https://usmalibrary.contentdm.oclc.org/digital/collection/aogreunion/id/7621,7621,draft,high,,False
bd6b1bd6-df4b-5186-9681-9226f30ec92b,Cooper,James,F.,JAMES F. COOPER,1834,,,1869-10-14,"Oct. 14, 1869","Atlanta, Ga.",,,,,death_notice,,,1870,8,8,https://usmalibrary.contentdm.oclc.org/digital/collection/aogreunion/id/7621,7621,draft,high,"Entry states only: ""Information of Mr. Cooper's death was supplied at so late a moment that no sketch of his life could be prepared.""",False
8723952f-a253-5991-ad66-b3253420ba34,Sterling,George,Augustine,Rev. GEORGE AUGUSTINE STERLTNG,1829,,,1869-10-17,"Oct. 17, 1869","Sharon, Conn.",,,,,obituary,"Rev. George Augustine Sterling, class of 1829, at Sharon, Conn., Oct. 17, 1869. The following notice of Mr. Sterling's life was furnished by the Hon. John Cotton Smith, of Sharon, Conn., through the kindness of General Cady, of the class of 1829.

Mr. Sterling graduated at an early age, at the U. S. Military Academy, and afterward served for a time in the U. S. Army, being stationed at Fort Gibson, in what was then the territory of Arkansas. His health failing, he resigned his commission, and, after the usual study of divinity, was ordained a clergyman of the Protestant Episcopal Church. He was settled for some years over the church at Huntington, Conn., and upon the giving up of this charge returned to his home in Sharon, and passed the remainder of his life at the place of his birth and early associations.

Mr. Sterling possessed a kindly disposition, a gentlemanly deportment, and a sincere and excellent piety. His favorite topic of conversation was religion, and his charity was great for all who bore the Christian name. He was an obliging neighbor and a good citizen, and in all the relations of life was esteemed, respected, and beloved.

""The sweet remembrance of the just
Will flourish when they sleep in dust.""","Hon. John Cotton Smith, of Sharon, Conn.",1870,8,8,https://usmalibrary.contentdm.oclc.org/digital/collection/aogreunion/id/7621,7621,draft,high,"Surname printed ""STERLTNG"" (OCR); corrected to Sterling per repeated later occurrences.",False
f9454208-5f1f-5e34-b060-b6ad7c5e5cdb,Burroughs,George,,Brevet-Major GEORGE BURROUGHS,1862,,,1870-01-22,"Jan. 22, 1870","on board the schooner Narragansett, in Charleston Harbor, S. C.",,1841-12-11,"Dec. 11, 1841","Forest Hill Cemetery, Boston, Mass.",obituary,"Brevet-Major George Burroughs, Captain, Corps of Engineers, class of 1862, on board the schooner Narragansett, in Charleston Harbor, S. C., Jan. 22, 1870.

From private sources and a published obituary, the following particulars in regard to Major Burroughs are gathered:

He was born in Camden, N. J., Dec. 11, 1841, and was the son of Rev. Henry Burroughs, Jr., then rector of St. Paul's Church, Camden, now of Christ Church, Boston, Mass., and of Sarah Tilden Burroughs. He removed with his parents to Northampton, Mass., in 1843, and thence to Boston in 1852. He was a member of the Boston Latin School for five years, and graduated third in his class in 1857, and obtained a Franklin Medal. He entered Harvard University without any ""conditions"" in the same year, and at once assumed the first rank in scholarship in his class. He left college to enter the Military Academy in 1858. In 1862 he was graduated third in his class, and was promoted to be 2d Lieut. Corps of Engineers, and from this grade subsequently to be 1st Lieut. and Captain. For gallant and meritorious conduct at the battle of Chickamauga, he was breveted Captain, and for faithful and meritorious services during the rebellion, to be Major, U. S. Army. He was married Oct. 18, 1866, in Cincinnati, Ohio, to Miss Carrie Bryson, of that city.

He left Charleston, S. C., Jan. 14, 1870, on a tour of inspection in the Narragansett, arrived at Cape Romain on the 17th, completed the inspection and repairs of the light-house there, and left on the 19th. On that evening he was taken ill with congestion of the brain, and died at 8.20 P. M., after his arrival in Charleston Harbor. His remains were taken to Boston and interred in Forest Hill Cemetery.

It is rare, indeed, said his former commanding officer, that we are called to mourn for one of such high endowments, joined with so many personal kindly traits; whose candid, frank, and joyous nature, and most marked independence of thought and character were such as to endear him to all his official associates of every grade, as well as to the many personal friends of this home of his boyhood.",,1870,8,9,https://usmalibrary.contentdm.oclc.org/digital/collection/aogreunion/id/7621,7621,draft,high,,False
1681f076-e09a-5822-8dd4-5d8537ac3e18,Chase,William,H.,Major WILLIAM H. CHASE,1815,,150,1870-02-01,"Feb. 1, 1870","Jacksonville, Fla.",,,,,obituary,"Major William H. Chase, formerly of the U. S. Corps of Engineers, class of 1815, at Jacksonville, Fla., Feb. 1, 1870.

The etat de service of Major Chase, from date of appointment until Oct. 31, 1856, is contained in Cullum's Biographical Register of Graduates, No. 150. From 1856 to 1861 he was President of the Alabama & Florida R. R. Co. No portion of his history from 1861 until the date of his decease has been furnished the Association.",,1870,9,9,https://usmalibrary.contentdm.oclc.org/digital/collection/aogreunion/id/7622,7622,draft,high,,False
de461d92-68e5-532f-9628-2c9baf61ad88,Morris,Thompson,,Lieut.-Colonel THOMrPSON MORRIS,1822,,,1870-02-13,"Feb. 13, 1870","Cincinnati, Ohio",,,,,obituary,"Lieut.-Colonel Thompson Morris, U. S. Army, class of 1822, retired, at Cincinnati, Ohio, Feb. 13, 1870.

Information of Col. Morris' death has but just been furnished, and the particulars are not therefore known. His official record includes continuous promotion from Cadet to be Second Lieutenant, First Lieutenant, and Captain of the 2d U. S. Infantry; to be Major of the 1st, and Lieut. Colonel of the 4th Infantry, and to be Brevet Major U. S. Army for gallant and meritorious conduct at the battle of Cerro Gordo, and Brevet Lieut.-Colonel U. S. Army, for gallant and meritorious conduct at the battles of Contreras and Cherubusco.",,1870,9,9,https://usmalibrary.contentdm.oclc.org/digital/collection/aogreunion/id/7622,7622,draft,high,,False
bed2b436-1109-5ea5-9d1a-e56363c8d0ca,Lee,A.,Tracy,2d Lieut. A. TRAcT LEE,1867,,,1870-02-19,"Feb. 19, 1870","Sedgwick Barracks, Washington, D. C.",,1844-09-29,"Sept. 29, 1844","Forest Hill Cemetery, near Boston, Mass.",obituary,"2d Lieut. A. Tracy Lee, 5th U. S. Art., class of 1867, at Sedgwick Barracks, Washington, D. C., Feb. 19, 1870.

From official and private sources the following facts relating to Lieut. Lee are gathered:

He was born in Roxbury, Mass., Sept. 29, 1844, and was the eldest son of William Raymond, and Helen Maria Amory Lee. Upon graduating at the Military Academy, he was commissioned Second Lieutenant 5th U. S. Artillery, assigned to Co. ""K,"" and stationed at the Dry Tortugas. Thence in January, 1868, he went with his company to New Orleans, and in April following was detailed for temporary duty with Co. ""I,"" 4th U. S. Cavalry. In June, 1868, he joined Light Battery ""F"" of his regiment at Richmond, Va., and while serving with this Battery at Washington died of diphtheria. His decease was most sudden and unexpected, and cast a deep gloom over the extended circle of his friends. His short life presented little for record save an honorable observance of all duties. He was a pure-minded gentleman in his conduct, affectionate in his disposition, and considerate in his intercourse with others, and he was sincerely beloved by his comrades. Nothing more could well be said of so young a man and officer, who had no opportunities of proving his qualities beyond the common routine of duty. He was buried Feb. 22, 1870, at Forest Hill Cemetery, near Boston, Mass.",,1870,9,10,https://usmalibrary.contentdm.oclc.org/digital/collection/aogreunion/id/7622,7622,draft,medium,"Middle name printed as ""TRAcT"" (OCR); read as ""Tracy"". First name given only as initial ""A.""",False
7314c87b-d621-53f9-a2d9-bb388430d567,Robbins,Kenelm,,Capt. KENELM ROBBINS,1863,,,1870-02-28,"Feb. 28, 1870","Jackson, Miss.",,,,,obituary,"Capt. Kenelm Robbins, U. S. Infantry, unassigned, class of 1863, at Jackson, Miss., Feb. 28, 1870.

Captain Robbins, from the time of his graduation, was successively promoted to be 2d Lieut., and 1st Lieut. 5th U. S. Cavalry, Captain 43d U. S. Infantry, Brevet 1st Lieut. U. S. Army, for gallant and meritorious services at the battle of Brandy Station, Va., and Brevet Captain U. S. A. for gallant and meritorious services at the battle of Winchester, Va. Further details of his life have not been furnished the Association.",,1870,10,10,https://usmalibrary.contentdm.oclc.org/digital/collection/aogreunion/id/7623,7623,draft,high,,False
